spinout_id,year,founded,state,intel_ipr,intel_ownership,intel_capital,others_capital,round_cvc,total_cvc,sic,intel_industry,founder_executive,founders_exp,founders_seniority,founders_kn_spec,patents,uspc_classes,claims,backward_citations,forward_citations,human_capital,intel_specific_human_capital,social_capital,intel_specific_social_capital,acquired,closed,founding_team,employees
1647,2014,2012,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1647,2015,2012,CA,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1653,2007,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,0,"180, 310, 361, 701",0,0,0,5.0625,2.875,13.75,1.5,0,0,2,0
1653,2008,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,0,"180, 310, 361, 701",0,0,0,6.375,2.9375,16.3125,1.0625,0,0,2,1
1653,2009,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,1,"180, 310, 361, 701",44,27,2,4.8125,1.5625,13.5625,.375,0,0,2,2
1653,2010,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,0,"180, 310, 361, 701",0,0,0,3.5625,1.8125,13.8125,0,0,0,2,2
1653,2011,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,3,"180, 310, 361, 701",80,46,10,8.25,1.1875,29.5625,0,0,0,1,2
1653,2012,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,1,"180, 310, 361, 701",21,11,2,7.6875,1.5625,25.625,0,0,0,1,2
1653,2013,2007,CA,0,0,0,0,0,0,3711,1,0,0,22,.9256198347107438,1,"180, 310, 361, 701",27,22,1,6.1875,1,17.9375,0,0,1,1,2
1677,2003,2003,CA,0,0,0,0,0,0,5065,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1677,2004,2003,CA,0,0,0,0,0,0,5065,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1677,2005,2003,CA,0,0,0,0,0,0,5065,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1677,2006,2003,CA,0,0,0,0,0,0,5065,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1677,2007,2003,CA,0,0,0,0,0,0,5065,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,0,1,0
1677,2008,2003,CA,0,0,0,0,0,0,5065,0,0,0,7,1,0,,0,0,0,0,0,0,0,0,1,1,0
1696,2000,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2001,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2002,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2003,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2004,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2005,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2006,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2007,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2008,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2009,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2010,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2011,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2012,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2013,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2014,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1696,2015,2000,CA,0,0,0,0,0,0,ND,0,0,0,5,1,0,,0,0,0,0,0,0,0,0,0,1,0
1697,2007,2007,OR,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1697,2008,2007,OR,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1697,2009,2007,OR,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1697,2010,2007,OR,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1697,2011,2007,OR,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,0,1,0
1697,2012,2007,OR,0,0,0,0,0,0,ND,0,0,0,11,1,0,,0,0,0,0,0,0,0,0,1,1,0
1705,2013,2013,CA,0,0,0,0,0,0,ND,0,1,0,15,1,0,,0,0,0,0,0,0,0,0,0,1,0
1705,2014,2013,CA,0,0,0,0,0,0,ND,0,1,0,15,1,0,,0,0,0,0,0,0,0,0,0,1,0
1705,2015,2013,CA,0,0,0,0,0,0,ND,0,1,0,15,1,0,,0,0,0,0,0,0,0,0,0,1,0
1714,2008,2008,CA,0,0,0,0,0,0,ND,0,1,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1714,2009,2008,CA,0,0,0,0,0,0,ND,0,1,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1714,2010,2008,CA,0,0,0,0,0,0,ND,0,1,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
1714,2011,2008,CA,0,0,0,0,0,0,ND,0,1,0,14,1,0,,0,0,0,0,0,0,0,0,0,1,0
